reportDate,slaName,regionName,supportDesk,groupName,contactType,m-SlaTime,m-SlaStage
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1694,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1659,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1572,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1651,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1540,1
03-10-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4778,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2356,1
03-09-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1228,1
03-09-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,785,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2659,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1850,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2000,1
03-02-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,300,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2372,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2150,1
03-04-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1020,1
03-10-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4226,1
03-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,5621,1
03-02-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1682,1
03-02-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4576,1
03-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2987,1
03-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4999,1
03-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2352,1
03-19-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3522,1
04-05-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4305,1
04-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1088,1
04-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,374,1
01-20-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4161,1
03-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,705,1
04-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2765,1
04-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,6266,1
04-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,408,1
03-30-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,894,1
03-24-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1309,1
03-19-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,609,1
03-30-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2565,1
03-10-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4770,1
03-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3009,1
03-20-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,393,1
03-17-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1767,1
03-15-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1461,1
03-10-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,6451,1
